Dataset Name			AUC values
road-minnesota					0.9079614325068871
road					0.874654192445048
cora					0.704
Power					0.9532123210548009
USAir					0.974190103239587
Celegans					0.8783954930561622
ppi					0.91067667244747
HepTh					0.9757471058792924
bio-SC-GT					0.9726705388101786
pubmed					0.714
infect-hyper					0.8524634598944976
citeseer					0.518
USAir					0.974190103239587
Power					0.9532123210548009
road					0.874654192445048
HepTh					0.9757471058792924
cora					0.704
Celegans					0.8783954930561622
citeseer					0.518
infect-hyper					0.8524634598944976
road-minnesota					0.9079614325068871
bio-SC-GT					0.9726705388101786
pubmed					0.714
ppi					0.91067667244747
Power					0.9532123210548009
bio-SC-GT					0.9726705388101786
road-minnesota					0.9079614325068871
infect-hyper					0.8524634598944976
cora					0.704
pubmed					0.714
HepTh					0.9757471058792924
road					0.874654192445048
Celegans					0.8783954930561622
citeseer					0.518
ppi					0.91067667244747
USAir					0.974190103239587
